Term,Occurrences,Files,Category
dummy,1,1,ABLEIST LANGUAGE
abort,2,2,VIOLENT LANGUAGE
kill,16,7,VIOLENT LANGUAGE
native,36,11,RACIALLY CHARGED LANGUAGE
master,28,10,RACIALLY CHARGED LANGUAGE
slave,1,1,RACIALLY CHARGED LANGUAGE
primitive,3,1,RACIALLY CHARGED LANGUAGE
normal,23,13,BIASED LANGUAGE
disabled,58,19,BIASED LANGUAGE
special,26,11,BIASED LANGUAGE
