Term,Occurrences,Files,Category
mad,6,2,ABLEIST LANGUAGE
hang,23,4,VIOLENT LANGUAGE
hit,1,1,VIOLENT LANGUAGE
kill,1,1,VIOLENT LANGUAGE
terminate,3,1,VIOLENT LANGUAGE
master,21,4,RACIALLY CHARGED LANGUAGE
special,1,1,BIASED LANGUAGE
